time,x1,x2,y
0.05,-0.562319753,-2.27449131,-2.386525979
0.1,0.505550489,-1.451586165,-0.371559771
0.15,-0.857811648,-0.271214931,-12.58645241
0.2,-0.735261677,-3.402500533,-0.248120878
0.25,-1.24436875,-2.199161883,-10.68143732
0.3,1.033963476,-2.64304735,9.90311316
0.35,-1.107868395,-1.941599374,-9.600161638
0.4,0.977156823,-1.529483775,5.626344603
0.45,-1.489348941,-2.027296691,-15.80496304
0.5,0.326266464,-2.502567859,2.332268367
0.55,-0.705483293,-1.363182073,-5.993251717
0.6,-1.065696868,-1.685003652,-9.422185532
0.65,1.736795074,-0.554687475,17.10628529
0.7,-0.061694122,-0.711627112,-4.113424434
0.75,-1.213085821,-3.098110163,-7.316314341
0.8,-2.537222763,-2.004896768,-54.81316383
0.85,1.33631734,-3.045118993,15.52175315
0.9,-1.138162238,-1.2194109,-11.21510893
0.95,-0.179438055,-0.885862735,-3.888928182
1,0.922698954,-1.334971555,4.042201281
1.05,-0.431648686,-3.701904692,2.649034442
1.1,0.671369845,-1.253737713,0.725523004
1.15,-1.68906758,-1.831809329,-20.08199
1.2,1.405194031,-2.399205409,14.55594069
1.25,0.503989777,-0.948002824,-1.53317756
1.3,0.616629585,-1.493457293,-0.179295595
1.35,1.362078526,-2.240790965,12.50572692
1.4,0.097598608,-2.352894875,0.49541371
1.45,0.984717957,0.558189409,-0.430567282
1.5,-1.366168042,-1.445625991,-12.55860276
1.55,-0.127302882,-2.168895272,-0.566395735
1.6,0.646363569,-2.003270483,4.14348304
1.65,-1.144727003,-2.035898468,-9.757810362
1.7,0.0935774,-2.387858203,1.240991863
1.75,0.593371433,-3.0650363,5.557570049
1.8,0.417026392,-1.59027827,-0.02604316
1.85,-0.844624805,-2.696140853,-2.929211003
1.9,-0.521677822,-2.892954352,0.794928817
1.95,1.84152965,0.215002978,18.19353765
2,0.519874503,-3.255067566,6.071782139
2.05,0.461053065,-0.90922183,-1.218122888
2.1,0.250778596,-2.32236974,2.107057683
2.15,-0.205734888,-0.777527039,-4.716708742
2.2,0.677736497,-3.05135493,6.495318064
2.25,1.023768361,-1.63309177,5.968669215
2.3,-2.002814921,-3.90023172,-24.05933785
2.35,-0.824442122,-1.526465957,-4.911775587
2.4,0.520793331,-1.297103265,0.887002686
2.45,1.52867187,-2.841000853,18.70339442
2.5,0.388628494,-2.576780909,3.869712281
2.55,-1.177103902,-1.518591026,-10.69449334
2.6,-0.872961732,-1.143905508,-9.373612821
2.65,-0.606117599,-1.553294633,-5.229321156
2.7,0.115706774,-1.462228719,-0.589372494
2.75,-0.604940459,-3.172569621,1.472322755
2.8,-1.086832204,-1.302823849,-8.756358184
2.85,-0.590439667,-3.711313457,0.347753848
2.9,-0.637405468,-1.991570752,-4.070765553
2.95,-0.248480499,-1.493864371,-2.771392181
3,-0.606502682,-2.129580265,-2.526130945
3.05,0.052545453,-0.471931369,-4.125751559
3.1,1.704703452,-3.118508949,23.57426679
3.15,-0.217987443,-1.563122397,-4.19082164
3.2,0.143363015,-1.86087365,-1.102735509
3.25,-0.999181855,-0.241555889,-11.93360169
3.3,2.264116645,-1.751096693,39.83029223
3.35,1.581689443,-2.112793344,18.09159984
3.4,0.654548291,-2.176218621,3.430831022
3.45,-0.32102077,-1.143638231,-3.627293146
3.5,-0.911705887,-2.609071923,-3.571937292
3.55,0.56410734,-1.384805666,-0.595233766
3.6,0.619215762,-3.464179304,6.770958998
3.65,-0.264618582,-2.102745183,-1.243714043
3.7,-0.269317226,-2.358783134,-1.087098179
3.75,1.612380945,-2.045965614,18.51300023
3.8,0.393751139,-1.808717456,0.817370516
3.85,-1.630344757,-2.865689666,-16.34353333
3.9,-0.463615202,-2.629411798,-0.888153948
3.95,-0.542311465,-2.267991607,-2.192647165
4,-1.090090481,-2.233949017,-8.602032918
4.05,0.045567304,-2.523030723,1.672656075
4.1,2.028837712,-0.520310616,27.62834986
4.15,-1.652345177,-1.746055251,-20.43184921
4.2,-1.025289446,-1.901059319,-7.494386763
4.25,1.733731483,-2.875690447,23.97330991
4.3,-1.511854187,-1.454721132,-17.54572835
4.35,-0.911726668,-1.169679374,-8.039217954
4.4,-1.120495386,-2.166406025,-8.758028327
4.45,-0.712172104,-2.261286087,-4.134549914
4.5,-0.854726139,-1.337258312,-9.244461855
4.55,-1.818932124,-1.341455903,-27.51333987
4.6,-0.274297535,-1.498731456,-2.776803739
4.65,0.934858231,-0.675678672,1.414770375
4.7,-0.390336933,-2.594290514,1.553140658
4.75,0.553478691,-1.6882129,0.537521257
4.8,0.776109763,-1.339713113,3.111817352
4.85,2.478750598,-1.402229284,48.39492449
4.9,0.134403987,-1.723850801,-0.818576187
4.95,0.473446469,-1.243505298,-1.096386718
5,-0.405239558,-1.716403887,-4.169980479
5.05,-1.696734226,-2.272831136,-19.8194868
5.1,0.457573696,-0.851127639,-1.85129242
5.15,1.319232069,-1.945695039,11.99818484
5.2,2.089737408,-1.674596035,33.00225995
5.25,-1.158776868,-0.973471103,-11.90325606
5.3,0.109397683,-1.334190096,-1.979067679
5.35,-0.872161333,-1.7716955,-7.097593663
5.4,1.116162098,-0.81181646,4.638183711
5.45,-1.878652192,-2.919521064,-24.08229018
5.5,-0.431680358,-2.170469295,-0.722814927
5.55,0.547028665,-2.596917207,4.816803003
5.6,0.434920553,-1.091470025,-1.135861734
5.65,-1.187877189,-1.575271011,-11.00388527
5.7,-0.242877387,-1.966243284,-3.150767491
5.75,0.970692506,-0.630798806,2.526965161
5.8,0.394425027,-1.771678685,0.77679594
5.85,-1.490386004,-2.374214173,-15.22267594
5.9,0.438997868,-2.164186835,4.316134461
5.95,-0.44129301,-2.00668139,-1.841783276
6,0.965348115,-0.665145078,3.472593942
6.05,2.120304727,-2.658114747,36.16456521
6.1,-1.375904287,-2.325716222,-11.87756914
6.15,-1.370468378,-1.441448735,-14.76079801
6.2,-0.804056875,-2.281608548,-3.96497547
6.25,0.785331011,-2.169951805,4.197262999
6.3,0.653765202,-1.499644054,2.475873133
6.35,2.203443263,-1.169712976,34.83099742
6.4,-0.885483474,-1.256977072,-8.440357866
6.45,-0.450043181,-1.286101783,-4.981339695
6.5,-0.8280194,-1.324713527,-6.478415106
6.55,0.960588232,-0.615623063,1.66108458
6.6,-1.306917476,-2.976462864,-6.907002951
6.65,-0.718759861,-2.654134644,-2.027394843
6.7,-0.834239518,-2.464837291,-3.197060817
6.75,-0.576243433,-2.991074884,-0.416173098
6.8,0.387472104,-0.164135951,-3.266430364
6.85,-0.262909987,-0.374052448,-8.069533482
6.9,-0.089189675,-1.858773581,-0.649085916
6.95,0.004374215,-0.335547137,-5.69186517
7,0.804125108,-1.388722437,2.837805253
7.05,0.11533973,-0.192018423,-5.712272528
7.1,0.222946861,-2.041689685,0.638652041
7.15,0.869322368,-2.289562081,6.558039846
7.2,0.290652449,0.036707797,-6.838538075
7.25,-2.282656565,-1.476958648,-43.89454913
7.3,0.976575987,-2.363187054,7.885150056
7.35,1.846437778,-2.075652436,25.05897616
7.4,0.441270146,-0.897900153,-1.590929189
7.45,-1.672759278,-3.264237302,-16.20317773
7.5,-0.373831503,-2.26879179,-1.615556103
7.55,-0.978273749,-3.189628004,-2.886531066
7.6,-0.149523077,-0.510625823,-3.489164109
7.65,0.156836159,-2.038205471,-0.484004753
7.7,-1.20737998,0.076531055,-15.97566601
7.75,-0.085763367,-3.121088161,2.326240143
7.8,0.671961082,-1.918099629,3.794383574
7.85,0.245602946,-0.953333595,-2.24682067
7.9,0.644595562,-2.136969945,3.530083755
7.95,-1.181817035,-2.5972881,-7.305073638
8,-0.564964459,-2.395275006,-0.683521915
8.05,-0.968019553,-1.979846125,-5.55268962
8.1,1.275611324,-2.577921685,12.7391237
8.15,0.229312488,-1.014234822,-2.02585353
8.2,-0.718789885,-1.267052211,-6.027730813
8.25,-0.37016003,-1.674335739,-3.805152724
8.3,-1.633122674,-2.627865427,-16.78410069
8.35,-0.115626332,-3.234417421,2.957976504
8.4,-0.346571098,-2.419061829,-0.653051457
8.45,0.517091,-2.606835956,4.340586188
8.5,1.449298746,-1.181590836,11.44730542
8.55,0.434930985,-3.168006928,5.762494796
8.6,0.543107339,-2.228982312,3.334175699
8.65,2.334031396,-2.083800116,43.60682183
8.7,1.569483901,-1.982421817,15.23828177
8.75,1.289033638,-1.39843957,8.12363612
8.8,0.758586203,-1.868781788,3.231716956
8.85,-0.31770741,-1.775661182,-0.873245308
8.9,0.857565303,-1.540000712,2.484396872
8.95,1.236579371,-3.485992397,14.23742834
9,-1.170405804,-1.356852655,-10.69283737
9.05,-1.187511623,-3.085346136,-6.42528811
9.1,0.184407456,-2.609167493,2.372917012
9.15,-1.065346723,-2.596092334,-5.460349248
9.2,-1.073832771,-2.63667553,-6.018332336
9.25,0.20053265,-2.096718424,0.015488331
9.3,-1.150519454,-1.825093153,-9.100426236
9.35,-0.036667445,-2.905682661,2.068160695
9.4,0.405678525,-1.594875555,0.879466091
9.45,-0.471449277,-2.016432751,-2.446301105
9.5,-1.331814032,-2.812629696,-10.3993441
9.55,0.453241621,-3.453936715,6.601468217
